question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,question_in_hebrew,answer_in_hebrew,orig_answer_in_eng,should_translate,question_id,comments
C,True,2002,a,a,11,https://docs.google.com/document/d/1UoJdnerEFxl6OfCgPoKIRk-N_cj2xNo1,TAU,13,na,5,na,7,"a,f",na,1.0,"רוצים לבנות מבנה נתונים לתחזוקת מספרים טבעיים התומך בפעולות insert(x), delete(x), find(x), , עבור מספר טבעי x, ובפעולת  multiple_of_5() המחזירה שני ערכים שונים במבנה x, y המקימים y=5x. אזי קיים מבנה כנ""ל בו (אנו מעוניינים במבנה התומך בפעולות עם סיבוכיות הטובה ביותר) (4 נקודות):
1. פעולות insert(x), delete(x) נעשות בזמן O(log(n)^2) במקרה הגרוע, ופעולות find(x), multiple_of_5()  נעשות בזמן O(log(n)) במקרה הגרוע.
2. פעולות insert(x), delete(x) נעשות בזמן O(log(n)^2) במקרה הגרוע, ופעולות  find(x), multiple_of_5() נעשות בזמן O(log(n)) במקרה הגרוע.
3. פעולות insert(x), find(x), delete(x) נעשות בזמן O(log n) במקרה הגרוע, ופעולת multiple_of_5() נעשית בזמן O(n^2) במקרה הגרוע.
4. פעולות insert(x), delete(x) נעשות בזמן O(log(n)^2) במקרה הגרוע, פעולת  find(x) נעשית בזמן O(log(n)) ופעולת multiple_of_5() נעשית בזמן O(n) במקרה הגרוע.
5. פעולות insert(x), find(x), delete(x) נעשות בזמן O(log n) במקרה הגרוע, ופעולת multiple_of_5() נעשית בזמן O(1) במקרה הגרוע.
6. פעולות insert(x), find(x), delete(x) נעשות בזמן O(log n) במקרה הגרוע, ופעולת multiple_of_5() נעשית בזמן O(n) במקרה הגרוע.
7. כל הפעולות נעשות בזמן O(log n) במקרה הגרוע","התשובה הנכונה היא ה'.
מבנה הנתונים יהיה עץ 2-3 (או עץ חיפוש מאוזן אחר) שמכיל את כל האיברים. רשימה דו כיוונית שמכילה את הזוגות שהמנה ביניהם היא 5. כמו כן יש הצבעות הדדיות בין האיברים בשני המבנים.
פעולות הוספה, מחיקה וחיפוש מבוצעות על העץ. במקרה של הוספה ומחיקה יש לעדכן גם את הרשימה (כלומר להוסיף או להוריד זוג מהרשימה, לפי הצורך).
פעולת Multiple_of_5() תבוצע על ידי החזרת ראש הרשימה המקושרת.",,,,
A,False,2002,a,a,12,https://docs.google.com/document/d/1UoJdnerEFxl6OfCgPoKIRk-N_cj2xNo1,TAU,10,na,na,na,na,na,na,1.0,"זוג ערכים במערך נקראים עוקבים אם הם שונים ולאחר מיון הם נמצאים במקומות סמוכים במערך. בהינתן מערך של מספרים טבעיים בגודל n, הציעו אלגוריתם (בעל סיבוכיות worst case הטובה ביותר) הבודק האם יש זוג ערכים עוקבים שסכום המופעים של שניהם ביחד הוא לפחות  (כלומר מספר הפעמים שמופיע ערך מסוים ועוד מספר הפעמים שמופיע הערך העוקב לו יהיה לפחות ).","ניתן לפתור ב-O(n)   Worst case בכמה דרכים בהתבססות על order statistics. למשל, פתרון שמתבסס על העקרונות הבאים )  בלא פרוט פרטים טכניים): 
מציאת חציון – O(n) (סמנו ב-M)
מציאת האיבר הקטן ביותר הגדול מהחציון (H) (אם יש) – O(n)
מציאת האיבר הגדול ביותר הקטן מהחציון (L) (אם יש(– O(n)
ספירת הופעות של M, L, H – O(n)
אם כמות ההופעות הכוללת של M ו-H או של M ו-L מקיימת את התנאי התשובה חיובית. אחרת שלילית. ",,,,
A,True,2003,b,a,9,https://docs.google.com/document/d/1DsdNOK2cTVO4bctkBjFCBCsjpJEvM3qR,TAU,na,na,na,na,na,na,na,1.0,"נתון מערך A המכיל n מספרים שלמים.  בהינתן מספרx  המופיע ב A, נגדיר את הריבוי שלx  במערך A בתור מספר המופעים של x ב-A. רוצים לייצר מערך ממוין B בגודל n, שיכיל את הריבוי של כל אחד מהמספרים המופיעים ב A. 

הציעו אלגוריתם שפותר את הבעיה בתוחלת זמן הטובה ביותר.","תאור האלגוריתם:
נכניס את איברי הקבוצה לטבלת Hash בגודל (n).  ערכים חוזרים יוחזקו על ידי מונה (כלומר בפעולת ההכנסה, נעבור על כל הרשימה בתא אליו הגענו, ורק אם הערך לא נמצא נוסיף איבר חדש לרשימה, עם מונה מאותחל לאחד). בסוף הכנסת כל האיברים, נעבור על הטבלא ונחלץ את כל הריבויים. כל הערכים הנ""ל הם שלמים בתחום 1 עד n לכן ניתן למינם בעזרת CountSort. הוכחת זמן ריצה :
הכנסה לטבלה – סה""כ צפוי  (ממוצע) O(n)
חילוץ ריבויים מהטבלה O(n) 
CountSort O(n)

סה""כ צפוי O(n)",,,,
A,True,2003,b,a,10.a,https://docs.google.com/document/d/1DsdNOK2cTVO4bctkBjFCBCsjpJEvM3qR,TAU,na,na,na,na,na,na,na,1.0,"בהינתן שני מערכים A ו B, כל אחד בגודל n, מעוניינים לייצר מערך שלישי C בגודל n,  בעל התכונה הבאה: הערך הרשום ב C[i] שווה מספר איברי A הקטנים מ B[i].
לשאלה זו שני סעיפים! תארו אלגוריתם בעל סיבוכיות ה W.C. הטובה ביותר לפתרון הבעיה.","תיאור האלגוריתם:
נמיין את A בעזרת HeapSort.
עבור כל איבר ב-B נמצא כמה איברים קטנים ממנו בעזרת חיפוש בינארי ב O(lg n). 
חשוב מאוד: אם ב-A  יש איברים המופיעים יותר מפעם אחת, חיפוש בינארי רגיל לא יעבוד. לכן בכל דגימה של ערך, אם הערך הנדגם שווה לערך שמחפשים האלגוריתם לא יעצור אלא יבצע קריאה רקורסיבית על החצי השמאלי (שמכיל את האיברים הקטנים יותר.  הוכחת זמן ריצה:
מיון: (n lg n)
n חיפושים בינארים  (n lg n)
סה""כ (n lg n)
",,,,
A,True,2003,b,a,10.b,https://docs.google.com/document/d/1DsdNOK2cTVO4bctkBjFCBCsjpJEvM3qR,TAU,na,na,na,na,na,na,na,1.0,"בהינתן שני מערכים A ו B, כל אחד בגודל n, מעוניינים לייצר מערך שלישי C בגודל n,  בעל התכונה הבאה: הערך הרשום ב C[i] שווה מספר איברי A הקטנים מ B[i].
לשאלה זו שני סעיפים! תנו חסם תחתון טוב ככל האפשר לאלגוריתם הפותר את הבעיה במודל ההשוואות:","הוכחת נכונות :

נראה שבעזרת אלגוריתם לפתרון הבעיה הנ""ל שפועל במודל ההשוואות בזמן f(n) ניתן למיין מערך המכיל את הערכים 1 עד n בזמן O(f(n)+n) ולכן בהכרח f(n)=(n lg n).

בהינתן מערך A המכיל את n המספרים הראשונים, נעביר לאלגוריתם שני עותקים של A (בתור A ו-B).
האלגוריתם פועל ב-f(n) ומחזיר מערך C  המכיל למעשה את הסדר הסטטיסטי של כל אחד מאברי A ולכן בזמן נוסף O(n) ניתן למיין את A.
",,,,
C,True,2004,a,a,1,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,4,"\subsection*{A Ternary Tree}
A ternary tree is a tree in which each node has at most three children. A complete and balanced ternary tree, containing $N$ nodes, is given. The depth of a node is the number of edges between the node and the root (the depth of the root is 0). The height of a node is the number of edges between the node and the nearest leaf (the height of a leaf is 0). Let $D$ be the sum of the depths of all the nodes (including leaves), then:
\begin{enumerate}
    \item $D = \theta(N)$
    \item $D = \theta(N\log(N))$
    \item $D = \theta(N^2)$
    \item $D = \theta(N^2\log(N))$
    \item None of the above answers is correct.
\end{enumerate}",B,"
b. 
The depth of all the nodes is \(O(\log n)\). Therefore, the sum is \(O(n \log n)\).
On the other hand, the depth of all the leaves is \(\Omega(\log n)\) and there are \(\Omega(n)\) leaves, therefore the sum is also \(\Omega(n \log n)\).
",5,"e,p",untested,1.0,"עץ טרינארי הוא עץ שבו לכל צומת לכל היותר שלושה ילדים. 
נתון עץ טרינארי מלא ומאוזן, המכיל N צמתים.
העומק של צומת הינו מספר הקשתות בין השורש ובין הצומת (עומק השורש הינו 0). 
הגובה של צומת  הינו מספר הקשתות בין הצומת ובין העלה הקרוב ביותר (גובה עלה הינו 0). יהי D סכום העומקים של כל הצמתים (כולל עלים) אזי
א. D = θ(N)
ב. D = θ(Nlog(N)) 
ג. D = θ(N^2)
ד. D = θ(N^2log(N))
ה. אף אחת מהתשובות הנ""ל אינה נכונה.","ב. 
עומק כל הצמתים הוא O(lg n). לכן הסכום הוא O(n lg n).
מצד שני, עומק כל העלים הוא Ω(lg n) ויש Ω(n) עלים לכן הסכום הוא גם Ω(n lg n)",,,,
C,True,2004,a,a,2,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,4,"
A ternary tree is a tree in which each node has at most three children.
Given a full and balanced ternary tree containing \( N \) nodes.
The depth of a node is the number of edges between the root and the node (the depth of the root is 0).
The height of a node is the number of edges between the node and the closest leaf (the height of a leaf is 0). Let \( H \) be the sum of the heights of all nodes (including leaves), then:
a. \( H = \theta(N) \)
b. \( H = \theta(N \log(N)) \)
c. \( H = \theta(N^2) \)
d. \( H = \theta(N^2 \log(N)) \)
e. None of the above answers is correct.
",A,"
The calculation is similar to the calculation of the running time of Build-Heap. We obtain a geometric series of the form \(\Theta(n) \times \sum_{i} \left(\frac{i}{3^i}\right)\).
",5,"e,p",untested,1.0,"עץ טרינארי הוא עץ שבו לכל צומת לכל היותר שלושה ילדים. 
נתון עץ טרינארי מלא ומאוזן, המכיל N צמתים.
העומק של צומת הינו מספר הקשתות בין השורש ובין הצומת (עומק השורש הינו 0). 
הגובה של צומת  הינו מספר הקשתות בין הצומת ובין העלה הקרוב ביותר (גובה עלה הינו 0). יהי H סכום הגבהים של כל הצמתים (כולל עלים) אזי
א. H = θ(N)
ב. H = θ(Nlog(N)) 
ג. H = θ(N^2)
ד. H = θ(N^2log(N))
ה. אף אחת מהתשובות הנ""ל אינה נכונה.","א.
החישוב בדומה לחישוב זמן הריצה של Build-Heap. מתקבלת סדרה הנדסית מהצורה Θ(n)xΣi(i/3i)",,,,
C,True,2004,a,a,3,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,7,"
$T(n) = T(n/4) + T(3n/4) + 1$  
A. $T(n) = \theta(n)$  
B. $T(n) = \theta(n^{\log_3{4}})$  
C. $T(n) = \theta(n\log{n})$  
D. $T(n) = \theta(n^{0.75})$  
E. $T(n) = \theta(\log^2{n})$  
F. $T(n) = \theta(\log^{0.75}{n})$
",A,"
Part A.
",6,a,tested,1.0,"
T(n) = T(n/4) + T(3n/4) + 1
א. T(n) = θ(n)
ב. T(n) = θ(n^(log(4)/log(3))) 
ג. T(n) = θ(nlog(n))
ד. T(n) = θ(n^0.75)
ה. T(n) = θ(log(n)^2) 
ו. T(n) = θ(log(n)^0.75)",א.,,,,
C,True,2004,a,a,4,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,7,na,C,na,6,"g,b",na,1.0,"נתונה טבלת Hash פתוחה בגודל B, שבה התנגשויות בכל תא נפתרות על ידי רשימה מקושרת. הטבלה תומכת בפעולות Insert, Delete, Find.
עבור סדרת פעולות באורך N, המורכבת ממספר שווה של כל אחת מהפעולות הנ""ל (N/3 מכל סוג), ומתחילה עם מבנה ריק, זמן Amortized לפעולה בודדת במבנה הוא:
(תזכורת: זמן Amortized  לפעולה הוא זמן W.C. של סידרה של N פעולות, חלקי N).
א. θ(1)
ב. θ(B) 
ג. θ(N)
ד. θ(B^2)
ה. θ(N^2)
ו. אף אחת מהנ""ל.","ג. כל פעולה במבנה לוקחת w.c. O(N) ולכן זהו חסם על זמן Amortized.. סידרה שמתחילה N/3 פעולות Insert שבה כל האיברים נופלים נופלים לאותו תא, וכל פעולות החיפוש כושלות אחרי סריקת הרשימה הארוכה, תיקח Θ(N2).",,,,
C,True,2004,a,a,5,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,7,"
If \(\log(f(n)) = \theta(\log(g(n)))\) then necessarily:
a. \(f(n) = \theta(g(n + 1))\)
b. \(f(n) = \theta(g(n/2))\) 
c. \(f(n) = \theta(g(n^{0.5}))\)
d. a + b
e. a + b + c
f. None of the above
",F,"
\subsection{Counterexample}
\( f(n) = n! \), \( g(n) = n^n \)
",6,a,tested,1.0,"אם log(f(n)) = θ(log(g(n))) אז בהכרח:
א. f(n) = θ(g(n + 1))
ב. f(n) = θ(g(n/2)) 
ג. f(n) = θ(g(n^0.5))
ד. א + ב
ה. א + ב + ג
ו. אף אחת מהנ""ל","ו. 
דוגמה נגדית:
f(n) = n!  ,   g(n) = nn",,,,
